"t","TP_conc","TP_conc_ug_L","mass_settled_kg"
2987,5.61704473402285e-06,5.61704473402285,8461.57774398664
2988,5.61703535227556e-06,5.61703535227556,8461.56361121971
2989,5.61702598316074e-06,5.61702598316074,8461.54949748247
2990,5.61701662666137e-06,5.61701662666137,8461.53540274928
2991,5.61700728276046e-06,5.61700728276046,8461.52132699456
2992,5.61699795144106e-06,5.61699795144106,8461.50727019275
2993,5.61698863268622e-06,5.61698863268622,8461.49323231834
2994,5.61697932647903e-06,5.61697932647903,8461.47921334583
2995,5.61697003280258e-06,5.61697003280258,8461.46521324978
2996,5.61696075164001e-06,5.61696075164001,8461.45123200477
2997,5.61695148297446e-06,5.61695148297446,8461.43726958542
2998,5.61694222678912e-06,5.61694222678912,8461.42332596638
2999,5.61693298306717e-06,5.61693298306717,8461.40940112234
3000,5.61692375179183e-06,5.61692375179183,8461.395495028
3001,5.61691453294634e-06,5.61691453294634,8461.38160765813
3002,5.61690532651398e-06,5.61690532651398,8461.36773898752
3003,5.61689613247801e-06,5.61689613247801,8461.35388899099
3004,5.61688695082175e-06,5.61688695082175,8461.34005764338
3005,5.61687778152854e-06,5.61687778152854,8461.3262449196
3006,5.61686862458172e-06,5.61686862458172,8461.31245079456
3007,5.61685947996467e-06,5.61685947996467,8461.29867524322
3008,5.61685034766079e-06,5.61685034766079,8461.28491824058
3009,5.6168412276535e-06,5.6168412276535,8461.27117976165
3010,5.61683211992624e-06,5.61683211992624,8461.2574597815
3011,5.61682302446248e-06,5.61682302446248,8461.24375827521
3012,5.6168139412457e-06,5.6168139412457,8461.23007521791
3013,5.61680487025942e-06,5.61680487025942,8461.21641058476
3014,5.61679581148716e-06,5.61679581148716,8461.20276435096
3015,5.61678676491248e-06,5.61678676491248,8461.18913649171
3016,5.61677773051895e-06,5.61677773051895,8461.1755269823
3017,5.61676870829018e-06,5.61676870829018,8461.161935798
3018,5.61675969820978e-06,5.61675969820978,8461.14836291415
3019,5.61675070026139e-06,5.61675070026139,8461.13480830609
3020,5.61674171442869e-06,5.61674171442869,8461.12127194923
3021,5.61673274069535e-06,5.61673274069535,8461.10775381899
3022,5.61672377904509e-06,5.61672377904509,8461.09425389083
3023,5.61671482946163e-06,5.61671482946163,8461.08077214023
3024,5.61670589192873e-06,5.61670589192873,8461.06730854272
3025,5.61669696643016e-06,5.61669696643016,8461.05386307386
3026,5.61668805294972e-06,5.61668805294972,8461.04043570924
3027,5.61667915147122e-06,5.61667915147122,8461.02702642448
3028,5.61667026197851e-06,5.61667026197851,8461.01363519524
3029,5.61666138445544e-06,5.61666138445544,8461.0002619972
3030,5.6166525188859e-06,5.6166525188859,8460.98690680609
3031,5.61664366525379e-06,5.61664366525379,8460.97356959765
3032,5.61663482354304e-06,5.61663482354304,8460.96025034769
3033,5.6166259937376e-06,5.6166259937376,8460.946949032
3034,5.61661717582143e-06,5.61661717582143,8460.93366562646
3035,5.61660836977854e-06,5.61660836977854,8460.92040010693
3036,5.61659957559292e-06,5.61659957559292,8460.90715244934
3037,5.61659079324862e-06,5.61659079324862,8460.89392262964
3038,5.61658202272969e-06,5.61658202272969,8460.88071062381
3039,5.6165732640202e-06,5.6165732640202,8460.86751640786
3040,5.61656451710426e-06,5.61656451710426,8460.85433995783
3041,5.61655578196599e-06,5.61655578196599,8460.84118124981
3042,5.61654705858953e-06,5.61654705858953,8460.82804025991
3043,5.61653834695904e-06,5.61653834695904,8460.81491696427
3044,5.6165296470587e-06,5.6165296470587,8460.80181133906
3045,5.61652095887273e-06,5.61652095887273,8460.78872336049
3046,5.61651228238534e-06,5.61651228238534,8460.7756530048
3047,5.61650361758078e-06,5.61650361758078,8460.76260024826
3048,5.61649496444333e-06,5.61649496444333,8460.74956506718
3049,5.61648632295727e-06,5.61648632295727,8460.73654743788
3050,5.61647769310692e-06,5.61647769310692,8460.72354733674
3051,5.61646907487661e-06,5.61646907487661,8460.71056474015
3052,5.61646046825069e-06,5.61646046825069,8460.69759962455
3053,5.61645187321354e-06,5.61645187321354,8460.68465196639
3054,5.61644328974955e-06,5.61644328974955,8460.67172174217
3055,5.61643471784314e-06,5.61643471784314,8460.65880892841
3056,5.61642615747874e-06,5.61642615747874,8460.64591350168
3057,5.61641760864082e-06,5.61641760864082,8460.63303543855
3058,5.61640907131386e-06,5.61640907131386,8460.62017471566
3059,5.61640054548236e-06,5.61640054548236,8460.60733130964
3060,5.61639203113083e-06,5.61639203113083,8460.59450519719
3061,5.61638352824382e-06,5.61638352824382,8460.58169635502
3062,5.6163750368059e-06,5.6163750368059,8460.56890475987
3063,5.61636655680164e-06,5.61636655680164,8460.55613038853
3064,5.61635808821565e-06,5.61635808821565,8460.54337321779
3065,5.61634963103256e-06,5.61634963103256,8460.5306332245
3066,5.61634118523701e-06,5.61634118523701,8460.51791038554
3067,5.61633275081368e-06,5.61633275081368,8460.50520467779
3068,5.61632432774724e-06,5.61632432774724,8460.4925160782
3069,5.6163159160224e-06,5.6163159160224,8460.47984456372
3070,5.6163075156239e-06,5.6163075156239,8460.46719011136
3071,5.61629912653649e-06,5.61629912653649,8460.45455269814
3072,5.61629074874492e-06,5.61629074874492,8460.44193230112
3073,5.616282382234e-06,5.616282382234,8460.42932889738
3074,5.61627402698853e-06,5.61627402698853,8460.41674246404
