I 	 	 J 	 lat 	 lon
179 	 	 30 	 43.29130688 	 -77.47377587
180 	 	 30 	 43.28983095 	 -77.45628035
181 	 	 30 	 43.28832389 	 -77.43856567
182 	 	 30 	 43.28678564 	 -77.42063311
183 	 	 30 	 43.2852446 	 -77.40270163
184 	 	 30 	 43.28369985 	 -77.38477008
185 	 	 30 	 43.28217324 	 -77.36664858
186 	 	 30 	 43.28066376 	 -77.34833598
187 	 	 30 	 43.27915043 	 -77.3300233
188 	 	 30 	 43.27763514 	 -77.31171291
189 	 	 30 	 43.27621246 	 -77.29351734
190 	 	 30 	 43.27488258 	 -77.27544021
165 	 	 31 	 43.31279079 	 -77.71989053
166 	 	 31 	 43.31144684 	 -77.70307089
167 	 	 31 	 43.31010043 	 -77.68625213
168 	 	 31 	 43.30875153 	 -77.66943305
169 	 	 31 	 43.30735646 	 -77.65232136
170 	 	 31 	 43.30591596 	 -77.63491586
171 	 	 31 	 43.3044728 	 -77.61751011
172 	 	 31 	 43.30302704 	 -77.60010659
173 	 	 31 	 43.3015636 	 -77.58214029
174 	 	 31 	 43.30008217 	 -77.56361005
175 	 	 31 	 43.2985987 	 -77.54508208
176 	 	 31 	 43.29711135 	 -77.52655526
177 	 	 31 	 43.29563166 	 -77.50855403
178 	 	 31 	 43.29415982 	 -77.49107711
179 	 	 31 	 43.29268538 	 -77.47360244
180 	 	 31 	 43.2912074 	 -77.45612885
181 	 	 31 	 43.28969713 	 -77.43842752
182 	 	 31 	 43.2881536 	 -77.42049979
183 	 	 31 	 43.28660636 	 -77.40257199
184 	 	 31 	 43.28505727 	 -77.38464645
185 	 	 31 	 43.2835243 	 -77.3665237
186 	 	 31 	 43.28200646 	 -77.3482038
187 	 	 31 	 43.28048661 	 -77.32988496
188 	 	 31 	 43.27896296 	 -77.31156728
189 	 	 31 	 43.27753408 	 -77.2933754
190 	 	 31 	 43.27619819 	 -77.2753081
166 	 	 32 	 43.31278678 	 -77.70295275
167 	 	 32 	 43.31145497 	 -77.68614147
168 	 	 32 	 43.31012075 	 -77.66933231
169 	 	 32 	 43.30873483 	 -77.6522259
170 	 	 32 	 43.30729621 	 -77.6348236
171 	 	 32 	 43.30585496 	 -77.61742229
172 	 	 32 	 43.30441109 	 -77.60002197
173 	 	 32 	 43.30294804 	 -77.58203921
174 	 	 32 	 43.30146554 	 -77.5634741
175 	 	 32 	 43.29998092 	 -77.5449088
176 	 	 32 	 43.29849244 	 -77.52634588
177 	 	 32 	 43.29701158 	 -77.50833692
178 	 	 32 	 43.29553862 	 -77.4908831
179 	 	 32 	 43.29406302 	 -77.4734303
180 	 	 32 	 43.29258385 	 -77.45597733
181 	 	 32 	 43.29107037 	 -77.43828935
182 	 	 32 	 43.28952153 	 -77.42036524
183 	 	 32 	 43.28796906 	 -77.40244351
184 	 	 32 	 43.28641466 	 -77.38452159
185 	 	 32 	 43.28487443 	 -77.36639764
186 	 	 32 	 43.28335006 	 -77.34807157
187 	 	 32 	 43.28182189 	 -77.32974667
188 	 	 32 	 43.28029171 	 -77.31142282
189 	 	 32 	 43.27885568 	 -77.29323345
190 	 	 32 	 43.27751379 	 -77.27517599
191 	 	 32 	 43.27617001 	 -77.25712069
166 	 	 33 	 43.31412579 	 -77.70283343
167 	 	 33 	 43.31280956 	 -77.68603203
168 	 	 33 	 43.31148994 	 -77.66923033
169 	 	 33 	 43.3101123 	 -77.65213048
170 	 	 33 	 43.30867555 	 -77.63473139
171 	 	 33 	 43.30723622 	 -77.61733452
172 	 	 33 	 43.30579424 	 -77.5999374
173 	 	 33 	 43.30433248 	 -77.58193814
174 	 	 33 	 43.30284888 	 -77.56333692
175 	 	 33 	 43.30136224 	 -77.54473556
176 	 	 33 	 43.29987354 	 -77.52613649
177 	 	 33 	 43.29839154 	 -77.50812103
178 	 	 33 	 43.29691738 	 -77.49068785
179 	 	 33 	 43.29544062 	 -77.47325691
180 	 	 33 	 43.2939612 	 -77.45582576
181 	 	 33 	 43.29244361 	 -77.43815118
182 	 	 33 	 43.2908895 	 -77.42023191
183 	 	 33 	 43.28933171 	 -77.40231379
184 	 	 33 	 43.28777204 	 -77.38439672
185 	 	 33 	 43.28622549 	 -77.36627275
186 	 	 33 	 43.28469277 	 -77.34793938
187 	 	 33 	 43.28315807 	 -77.32960831
188 	 	 33 	 43.28161957 	 -77.31127841
189 	 	 33 	 43.28017725 	 -77.29309026
190 	 	 33 	 43.27882944 	 -77.2750451
191 	 	 33 	 43.27747966 	 -77.25699964
166 	 	 34 	 43.31546573 	 -77.70271528
167 	 	 34 	 43.3141641 	 -77.68592135
168 	 	 34 	 43.31286006 	 -77.66912953
169 	 	 34 	 43.31149066 	 -77.65203501
170 	 	 34 	 43.31005584 	 -77.63464036
171 	 	 34 	 43.30861835 	 -77.61724545
172 	 	 34 	 43.30717828 	 -77.59985277
173 	 	 34 	 43.30571692 	 -77.58183705
174 	 	 34 	 43.30423221 	 -77.56319972
175 	 	 34 	 43.30274449 	 -77.54456349
176 	 	 34 	 43.30125373 	 -77.52592714
177 	 	 34 	 43.29977056 	 -77.50790395
178 	 	 34 	 43.29829617 	 -77.49049381
179 	 	 34 	 43.29681822 	 -77.47308351
180 	 	 34 	 43.29533764 	 -77.45567422
181 	 	 34 	 43.29381774 	 -77.43801295
182 	 	 34 	 43.29225746 	 -77.42009857
183 	 	 34 	 43.2906944 	 -77.4021853
184 	 	 34 	 43.28912853 	 -77.38427189
185 	 	 34 	 43.28757651 	 -77.36614662
186 	 	 34 	 43.28603641 	 -77.34780836
187 	 	 34 	 43.28449335 	 -77.32947
188 	 	 34 	 43.28294742 	 -77.31113399
189 	 	 34 	 43.28149796 	 -77.29294835
190 	 	 34 	 43.28014594 	 -77.27491292
191 	 	 34 	 43.27879019 	 -77.25687853
166 	 	 35 	 43.31680567 	 -77.70259713
167 	 	 35 	 43.31551868 	 -77.6858119
168 	 	 35 	 43.31422925 	 -77.66902754
169 	 	 35 	 43.31286813 	 -77.65193959
170 	 	 35 	 43.31143518 	 -77.63454813
171 	 	 35 	 43.31000051 	 -77.61715762
172 	 	 35 	 43.30856232 	 -77.59976813
173 	 	 35 	 43.30710049 	 -77.58173724
174 	 	 35 	 43.30561554 	 -77.56306252
175 	 	 35 	 43.30412671 	 -77.54439018
176 	 	 35 	 43.30263482 	 -77.52571772
177 	 	 35 	 43.30115051 	 -77.50768804
178 	 	 35 	 43.29967492 	 -77.49029854
179 	 	 35 	 43.29819582 	 -77.4729101
180 	 	 35 	 43.29671413 	 -77.45552391
181 	 	 35 	 43.29519098 	 -77.43787476
182 	 	 35 	 43.29362539 	 -77.419964
183 	 	 35 	 43.29205706 	 -77.40205556
184 	 	 35 	 43.29048595 	 -77.38414824
185 	 	 35 	 43.28892667 	 -77.36602176
186 	 	 35 	 43.28737911 	 -77.34767616
187 	 	 35 	 43.28582863 	 -77.32933168
188 	 	 35 	 43.28427528 	 -77.31098956
189 	 	 35 	 43.28281953 	 -77.29280515
190 	 	 35 	 43.28146154 	 -77.27478078
191 	 	 35 	 43.28010073 	 -77.25675741
165 	 	 36 	 43.31941552 	 -77.71925634
166 	 	 36 	 43.31814561 	 -77.70247896
167 	 	 36 	 43.31687323 	 -77.68570121
168 	 	 36 	 43.31559844 	 -77.66892554
169 	 	 36 	 43.3142456 	 -77.65184415
170 	 	 36 	 43.31281543 	 -77.63445586
171 	 	 36 	 43.31138178 	 -77.61706982
172 	 	 36 	 43.30994637 	 -77.59968349
173 	 	 36 	 43.30848493 	 -77.58163614
174 	 	 36 	 43.30699798 	 -77.56292536
175 	 	 36 	 43.30550803 	 -77.54421692
176 	 	 36 	 43.30401594 	 -77.52550953
177 	 	 36 	 43.30253043 	 -77.50747088
178 	 	 36 	 43.30105278 	 -77.4901033
179 	 	 36 	 43.29957345 	 -77.47273792
180 	 	 36 	 43.29809148 	 -77.45537231
181 	 	 36 	 43.29656422 	 -77.43773657
182 	 	 36 	 43.29499335 	 -77.41983064
183 	 	 36 	 43.29341971 	 -77.40192582
184 	 	 36 	 43.29184333 	 -77.38402334
185 	 	 36 	 43.29027769 	 -77.36589562
186 	 	 36 	 43.28872271 	 -77.34754389
187 	 	 36 	 43.28716485 	 -77.32919453
188 	 	 36 	 43.28560403 	 -77.31084507
189 	 	 36 	 43.28414114 	 -77.29266316
190 	 	 36 	 43.28277718 	 -77.27464987
191 	 	 36 	 43.28141127 	 -77.25663629
192 	 	 36 	 43.28004165 	 -77.23862376
205 	 	 36 	 43.26872852 	 -77.00254051
165 	 	 37 	 43.32073992 	 -77.7191295
166 	 	 37 	 43.31948552 	 -77.70235956
167 	 	 37 	 43.31822781 	 -77.68559175
168 	 	 37 	 43.31696766 	 -77.66882477
169 	 	 37 	 43.31562396 	 -77.65174866
170 	 	 37 	 43.31419571 	 -77.6343648
171 	 	 37 	 43.3127639 	 -77.61698074
172 	 	 37 	 43.31133041 	 -77.59959884
173 	 	 37 	 43.30986936 	 -77.58153504
