I	J	XCent	YCent	CUE	CVE	CUN	CVN	WNDSHLT	lat	lon
174	23	778699.4	4798642.9	0.99952	0.03103	-0.03103	0.99952	1	43.28901723	-77.56470583
175	23	780186	4798540.2	0.99876	0.04981	-0.04981	0.99876	1	43.28754268	-77.54646663
176	23	781672.6	4798437.5	0.99765	0.06853	-0.06853	0.99765	1	43.28606524	-77.52822849
177	23	783135.4	4798334.9	0.99739	0.07218	-0.07218	0.99739	1	43.28459476	-77.51028417
178	23	784574.3	4798232.3	0.99815	0.06074	-0.06074	0.99815	1	43.28313052	-77.49263493
179	23	786013.2	4798129.7	0.99879	0.04925	-0.04925	0.99879	1	43.28166358	-77.47498671
180	23	787452.1	4798027.1	0.99929	0.03771	-0.03771	0.99929	1	43.28019394	-77.45733952
181	23	788904	4797923.7	0.99953	0.03076	-0.03076	0.99953	1	43.27870942	-77.43953386
182	23	790369	4797819.4	0.9996	0.02841	-0.02841	0.9996	1	43.27720903	-77.4215686
183	23	791833.9	4797715.1	0.99966	0.02604	-0.02604	0.99966	1	43.27570588	-77.40360563
184	23	793298.9	4797610.8	0.99972	0.02365	-0.02365	0.99972	1	43.27419989	-77.38564251
167	24	768724.4	4799530.2	0.99981	0.01951	-0.01951	0.99981	1	43.3006184	-77.68702044
168	24	770099.9	4799423.3	0.9999	0.01418	-0.01418	0.9999	1	43.29916528	-77.67014307
169	24	771497.9	4799317.5	0.99995	0.01045	-0.01045	0.99995	1	43.29771147	-77.6529892
170	24	772918.5	4799212.8	0.99997	0.00826	-0.00826	0.99997	1	43.29625681	-77.63555762
171	24	774339	4799108.1	0.99998	0.00607	-0.00607	0.99998	1	43.29479955	-77.61812828
172	24	775759.6	4799003.4	0.99999	0.00389	-0.00389	0.99999	1	43.29333962	-77.6006987
173	24	777214.6	4798899.7	0.99993	0.01221	-0.01221	0.99993	1	43.29187338	-77.58284632
174	24	778704.2	4798797	0.99952	0.03103	-0.03103	0.99952	1	43.29040057	-77.56456872
175	24	780193.7	4798694.3	0.99876	0.04981	-0.04981	0.99876	1	43.2889249	-77.54629343
176	24	781683.2	4798591.6	0.99765	0.06853	-0.06853	0.99765	1	43.28744634	-77.5280192
177	24	783146.5	4798488.8	0.99739	0.07218	-0.07218	0.99739	1	43.28597383	-77.51006844
178	24	784583.6	4798386.1	0.99815	0.06074	-0.06074	0.99815	1	43.28450932	-77.492441
179	24	786020.8	4798283.3	0.99879	0.04925	-0.04925	0.99879	1	43.28304118	-77.47481341
180	24	787457.9	4798180.5	0.99929	0.03771	-0.03771	0.99929	1	43.28157039	-77.45718807
181	24	788908.7	4798076.7	0.99953	0.03076	-0.03076	0.99953	1	43.28008267	-77.43939576
182	24	790373.3	4797971.8	0.9996	0.02841	-0.02841	0.9996	1	43.278577	-77.42143534
183	24	791837.9	4797866.9	0.99966	0.02604	-0.02604	0.99966	1	43.27706854	-77.40347599
184	24	793302.5	4797762	0.99972	0.02365	-0.02365	0.99972	1	43.27555728	-77.38551771
167	25	768727.3	4799681	0.99981	0.01951	-0.01951	0.99981	1	43.30197298	-77.68691105
168	25	770102	4799575.7	0.9999	0.01418	-0.01418	0.9999	1	43.30053451	-77.67004237
169	25	771499.5	4799470.9	0.99995	0.01045	-0.01045	0.99995	1	43.29908984	-77.65289378
170	25	772919.7	4799366.4	0.99997	0.00826	-0.00826	0.99997	1	43.29763709	-77.63546664
171	25	774340	4799261.9	0.99998	0.00607	-0.00607	0.99998	1	43.29618168	-77.61803927
172	25	775760.2	4799157.4	0.99999	0.00389	-0.00389	0.99999	1	43.29472366	-77.60061412
173	25	777216.5	4799053.8	0.99993	0.01221	-0.01221	0.99993	1	43.29325782	-77.58274529
174	25	778709	4798951.1	0.99952	0.03103	-0.03103	0.99952	1	43.29178391	-77.5644316
175	25	780201.4	4798848.4	0.99876	0.04981	-0.04981	0.99876	1	43.29030713	-77.54612022
176	25	781693.8	4798745.6	0.99765	0.06853	-0.06853	0.99765	1	43.28882654	-77.52780995
177	25	783157.7	4798642.8	0.99739	0.07218	-0.07218	0.99739	1	43.28735376	-77.50985141
178	25	784593	4798539.9	0.99815	0.06074	-0.06074	0.99815	1	43.28588809	-77.49224583
179	25	786028.3	4798436.9	0.99879	0.04925	-0.04925	0.99879	1	43.28441883	-77.47464133
180	25	787463.6	4798334	0.99929	0.03771	-0.03771	0.99929	1	43.28294778	-77.4570378
181	25	788913.4	4798229.7	0.99953	0.03076	-0.03076	0.99953	1	43.28145591	-77.43925766
182	25	790377.6	4798124.2	0.9996	0.02841	-0.02841	0.9996	1	43.27994497	-77.42130207
183	25	791841.9	4798018.7	0.99966	0.02604	-0.02604	0.99966	1	43.2784312	-77.40334633
184	25	793306.1	4797913.2	0.99972	0.02365	-0.02365	0.99972	1	43.27691467	-77.3853929
