OBJECTID,I_Value,J_Value,RASTERVALU
682,47,61,7.41649
683,47,62,7.40825
684,47,63,7.3994
685,47,64,7.38665
686,47,65,7.37696
687,47,66,7.36683
688,47,67,7.34254
689,47,68,7.31389
690,47,69,7.27803
691,47,70,7.23886
692,47,71,7.17461
693,47,72,7.07484
694,47,73,6.89922
695,47,74,6.60522
696,47,75,6.25055
697,47,76,5.94163
698,47,77,5.83343
699,47,78,5.94944
700,47,79,6.0551
701,47,80,6.00189
702,47,81,5.85198
703,47,82,5.73342
704,47,83,5.70211
705,47,84,5.8254
706,47,85,6.00537
707,47,86,6.31652
708,47,87,6.44141
709,47,88,6.53037
710,47,89,6.66601
711,47,90,6.80885
712,47,91,6.98658
713,47,92,7.28201
714,47,93,7.4353
715,47,94,7.51483
716,47,95,7.52929
717,47,96,7.53963
718,47,97,7.5999
719,47,98,7.74395
720,47,99,8.03165
721,47,100,8.20916
722,47,101,8.39886
723,47,102,8.52045
724,47,103,8.61083
725,48,48,7.60272
726,48,49,7.59937
727,48,50,7.59258
728,48,51,7.58546
729,48,52,7.58138
730,48,53,7.57359
731,48,54,7.56896
732,48,55,7.56044
733,48,56,7.55518
734,48,57,7.54582
735,48,58,7.53985
736,48,59,7.52922
737,48,60,7.52248
738,48,61,7.51535
739,48,62,7.50762
740,48,63,7.49539
741,48,64,7.4869
742,48,65,7.47797
743,48,66,7.46396
744,48,67,7.44392
745,48,68,7.41075
746,48,69,7.37874
747,48,70,7.33748
748,48,71,7.26593
749,48,72,7.1597
750,48,73,6.95069
751,48,74,6.59595
752,48,75,6.1565
753,48,76,5.74964
754,48,77,5.62577
755,48,78,5.83456
756,48,79,6.04366
757,48,80,6.0752
758,48,81,6.00241
759,48,82,5.93032
760,48,83,5.85546
761,48,84,5.94127
762,48,85,6.04119
763,48,86,6.16103
764,48,87,6.384
765,48,88,6.42282
766,48,89,6.51883
767,48,90,6.64568
768,48,91,6.88329
769,48,92,7.15166
770,48,93,7.34967
771,48,94,7.48696
772,48,95,7.54837
773,48,96,7.58893
774,48,97,7.65465
775,48,98,7.91291
776,48,99,8.08165
777,48,100,8.24107
778,48,101,8.41509
779,48,102,8.52668
780,48,103,8.61244
781,48,104,8.67511
782,49,48,7.71566
783,49,49,7.71403
784,49,50,7.70905
785,49,51,7.70493
786,49,52,7.70274
787,49,53,7.69691
788,49,54,7.69428
789,49,55,7.68777
790,49,56,7.68083
791,49,57,7.67729
792,49,58,7.67247
793,49,59,7.66426
794,49,60,7.65966
795,49,61,7.65382
796,49,62,7.64402
797,49,63,7.63733
798,49,64,7.63094
799,49,65,7.61919
800,49,66,7.61104
801,49,67,7.59369
802,49,68,7.56304
803,49,69,7.52727
804,49,70,7.48587
805,49,71,7.4116
806,49,72,7.29755
807,49,73,7.0647
808,49,74,6.66304
809,49,75,6.17749
810,49,76,5.70589
811,49,77,5.58163
812,49,78,5.83324
813,49,79,6.07834
814,49,80,6.16554
815,49,81,6.13919
816,49,82,6.14197
817,49,83,6.15138
818,49,84,6.04871
819,49,85,6.1064
820,49,86,6.2428
821,49,87,6.30865
822,49,88,6.28416
823,49,89,6.32887
824,49,90,6.49525
825,49,91,6.75379
826,49,92,7.02399
827,49,93,7.26782
828,49,94,7.44102
829,49,95,7.54674
830,49,96,7.62428
831,49,97,7.8661
832,49,98,8.00873
833,49,99,8.15285
834,49,100,8.29652
835,49,101,8.41783
836,49,102,8.55063
837,49,103,8.6237
838,49,104,8.6782
839,50,49,7.91978
840,50,50,7.91787
841,50,51,7.91323
842,50,52,7.90854
843,50,53,7.90662
844,50,54,7.90182
845,50,55,7.89689
846,50,56,7.89181
847,50,57,7.88965
848,50,58,7.88638
849,50,59,7.88074
850,50,60,7.87712
851,50,61,7.87083
852,50,62,7.86769
853,50,63,7.85953
854,50,64,7.85563
855,50,65,7.85042
856,50,66,7.84146
857,50,67,7.82851
858,50,68,7.77764
859,50,69,7.74875
860,50,70,7.71198
861,50,71,7.64235
862,50,72,7.50436
863,50,73,7.2619
864,50,74,6.85812
865,50,75,6.39557
866,50,76,5.97652
867,50,77,5.85753
868,50,78,6.01926
869,50,79,6.19294
870,50,80,6.29778
871,50,81,6.29944
872,50,82,6.2923
873,50,83,6.29278
874,50,84,6.30397
875,50,85,6.30733
876,50,86,6.26943
877,50,87,6.22218
878,50,88,6.12745
879,50,89,6.11826
880,50,90,6.26586
881,50,91,6.58104
882,50,92,6.90938
883,50,93,7.19335
884,50,94,7.406
885,50,95,7.55308
886,50,96,7.66243
887,50,97,7.97098
888,50,98,8.09697
889,50,99,8.22853
890,50,100,8.3698
891,50,101,8.47529
892,50,102,8.55899
893,50,103,8.6471
894,50,104,8.68421
895,51,48,8.05384
896,51,49,8.04809
897,51,50,8.0425
898,51,51,8.0371
899,51,52,8.03404
900,51,53,8.02905
901,51,54,8.02433
902,51,55,8.01991
903,51,56,8.01765
904,51,57,8.01334
905,51,58,8.0115
906,51,59,8.00809
907,51,60,7.99512
908,51,61,7.99265
909,51,62,7.9913
910,51,63,7.98881
911,51,64,7.9882
912,51,65,7.98442
913,51,66,7.98337
914,51,67,7.97596
915,51,68,7.96471
916,51,69,7.93359
917,51,70,7.90648
918,51,71,7.8398
919,51,72,7.72164
920,51,73,7.48003
921,51,74,7.11101
922,51,75,6.71922
923,51,76,6.40852
924,51,77,6.25229
925,51,78,6.27985
926,51,79,6.35993
927,51,80,6.40588
928,51,81,6.41738
929,51,82,6.40133
930,51,83,6.3949
931,51,84,6.38371
932,51,85,6.35258
933,51,86,6.27886
934,51,87,6.16123
935,51,88,6.01287
936,51,89,5.96131
937,51,90,6.11969
938,51,91,6.439
939,51,92,6.85336
940,51,93,7.1672
941,51,94,7.40401
942,51,95,7.57488
943,51,96,7.93295
944,51,97,8.06763
945,51,98,8.19702
946,51,99,8.32681
947,51,100,8.45418
948,51,101,8.54786
949,51,102,8.61144
950,51,103,8.64893
951,51,104,8.66541
952,52,48,8.15078
953,52,49,8.14043
954,52,50,8.13004
955,52,51,8.11971
956,52,52,8.1095
957,52,53,8.09953
958,52,54,8.09226
959,52,55,8.08286
960,52,56,8.074
961,52,57,8.06645
962,52,58,8.06053
963,52,59,8.05365
964,52,60,8.04824
965,52,61,8.04407
966,52,62,8.0402
967,52,63,8.03732
968,52,64,8.03494
969,52,65,8.0333
970,52,66,8.03204
971,52,67,8.0311
972,52,68,8.03023
973,52,69,8.02223
974,52,70,8.00588
975,52,71,7.96266
976,52,72,7.85705
977,52,73,7.63926
978,52,74,7.30686
979,52,75,6.96658
980,52,76,6.68038
981,52,77,6.50494
982,52,78,6.45393
983,52,79,6.4659
984,52,80,6.49057
985,52,81,6.50073
986,52,82,6.49463
987,52,83,6.46656
988,52,84,6.44454
989,52,85,6.39734
990,52,86,6.30375
991,52,87,6.11258
992,52,88,5.99382
993,52,89,5.94827
994,52,90,6.11699
995,52,91,6.46367
996,52,92,6.83439
997,52,93,7.15006
998,52,94,7.44744
999,52,95,7.85068
1000,52,96,8.00798
1001,52,97,8.15333
1002,52,98,8.30308
1003,52,99,8.43136
1004,52,100,8.5409
1005,52,101,8.61884
1006,52,102,8.66393
1007,52,103,8.6738
1008,52,104,8.66034
1009,53,48,8.30332
1010,53,49,8.2881
1011,53,50,8.27226
1012,53,51,8.25588
1013,53,52,8.23887
1014,53,53,8.22188
1015,53,54,8.20474
1016,53,55,8.18762
1017,53,56,8.17071
1018,53,57,8.15959
1019,53,58,8.14357
1020,53,59,8.12833
1021,53,60,8.11877
1022,53,61,8.10545
1023,53,62,8.09746
1024,53,63,8.08668
1025,53,64,8.07761
1026,53,65,8.0728
1027,53,66,8.06675
1028,53,67,8.0621
1029,53,68,8.05795
1030,53,69,8.0554
1031,53,70,8.05311
1032,53,71,8.03044
1033,53,72,7.9223
1034,53,73,7.73285
1035,53,74,7.44237
1036,53,75,7.08114
1037,53,76,6.68781
1038,53,77,6.46426
1039,53,78,6.44405
1040,53,79,6.47812
1041,53,80,6.53944
1042,53,81,6.55538
1043,53,82,6.55057
1044,53,83,6.51656
1045,53,84,6.49109
1046,53,85,6.44474
1047,53,86,6.24809
1048,53,87,6.20046
1049,53,88,6.09899
1050,53,89,6.07548
1051,53,90,6.2192
1052,53,91,6.59517
1053,53,92,6.94847
1054,53,93,7.24976
1055,53,94,7.48757
1056,53,95,7.87983
1057,53,96,8.03478
1058,53,97,8.2479
1059,53,98,8.38975
1060,53,99,8.5236
1061,53,100,8.63179
1062,53,101,8.70045
1063,53,102,8.72084
1064,53,103,8.69363
1065,53,104,8.63537
1066,54,49,8.59795
1067,54,50,8.58126
1068,54,51,8.56789
1069,54,52,8.55365
1070,54,53,8.54951
1071,54,54,8.53406
1072,54,55,8.51805
1073,54,56,8.49712
1074,54,57,8.48038
1075,54,58,8.45901
1076,54,59,8.45398
1077,54,60,8.43276
1078,54,61,8.41662
1079,54,62,8.40781
1080,54,63,8.39277
1081,54,64,8.37348
1082,54,65,8.36606
1083,54,66,8.3531
1084,54,67,8.34025
1085,54,68,8.30726
1086,54,69,8.27844
1087,54,70,8.25242
1088,54,71,8.18387
1089,54,72,8.0556
1090,54,73,7.79996
1091,54,74,7.56247
1092,54,75,7.13851
1093,54,76,6.46724
1094,54,77,6.14302
1095,54,78,6.288
1096,54,79,6.45243
1097,54,80,6.53927
1098,54,81,6.58969
1099,54,82,6.58162
1100,54,83,6.5601
1101,54,84,6.50983
1102,54,85,6.47978
